127.0.0.1 - - [04/Nov/2021:11:35:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:02:53 +0900] "POST /BBS/XSS_notice.jsp HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:09:53 +0900] "GET /BBS/XSS_write.jsp HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:10:32 +0900] "POST /BBS/XSS_writeAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:10:32 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6280
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:10:33 +0900] "GET /BBS/XSS_post.jsp?bbsID=3 HTTP/1.1" 200 2893
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:10:43 +0900] "GET /BBS/XSS_post.jsp?bbsID=3 HTTP/1.1" 200 2893
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:12:59 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6279
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:13:03 +0900] "GET /BBS/XSS_notice.jsp?reflected=111%3E+%3Cscript%3Ewindow.open%28%27http%3A%2F%2Fwww.naver.com%27%29%3C%2Fscript%3E HTTP/1.1" 200 6279
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:21:25 +0900] "GET /BBS/XSS_notice.jsp?reflected=111%3E+%3Cscript%3Ewindow.open%28%27http%3A%2F%2Fwww.naver.com%27%29%3C%2Fscript%3E HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:21:29 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:22:10 +0900] "GET /BBS/XSS_notice.jsp?reflected=111%3E+%3Cscript%3Ewindow.open%28%27http%3A%2F%2Fwww.naver.com%27%29%3C%2Fscript%3E HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:22:12 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:22:12 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:22:23 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:22:23 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:39:05 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:39:07 +0900] "GET /BBS/XSS_notice.jsp?reflected=111%3E+%3Cscript%3Ewindow.open%28%27http%3A%2F%2Fwww.naver.com%27%29%3C%2Fscript%3E HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:39:35 +0900] "GET /BBS/XSS_notice.jsp?reflected=111+%3Cscript%3Ealert%28%27a%27%29%3C%2Fscript%3E HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:44:07 +0900] "GET /BBS/XSS_notice.jsp?reflected=111+%3Cscript%3Ealert%28%27a%27%29%3C%2Fscript%3E HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:44:11 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 500 1796
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:44:44 +0900] "GET /BBS/XSS_notice.jsp?reflected=111+%3Cscript%3Ealert%28%27a%27%29%3C%2Fscript%3E HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:44:46 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:50:15 +0900] "GET /BBS/XSS_notice.jsp?reflected=111+%3Cscript%3Ealert%28%27a%27%29%3C%2Fscript%3E HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:50:18 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:50:18 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:50:21 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:50:21 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:53:33 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:53:36 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:53:36 +0900] "GET /BBS/111%3E%20%3Cscript%3Ewindow.open('http://www.naver.com')%3C/script%3E HTTP/1.1" 404 904
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:57:10 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:57:13 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:57:54 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [04/Nov/2021:12:58:54 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:00:15 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:00:28 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6324
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:04:51 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6408
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:05:11 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6408
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:05:29 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:08:26 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6438
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:09:58 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6461
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:11:19 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6481
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:11:33 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:12:37 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:17:19 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6467
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:17:20 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6467
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:17:20 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6467
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:17:21 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6467
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:17:21 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6467
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:17:21 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6467
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:17:22 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6467
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:18:44 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6469
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:19:37 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:20:54 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6520
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:26:40 +0900] "GET /BBS/XSS_write.jsp HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:30:05 +0900] "POST /BBS/XSS_writeAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:30:05 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6819
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:30:09 +0900] "GET /BBS/XSS_post.jsp?bbsID=4 HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:30:29 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6819
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:30:30 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6819
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:30:37 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6792
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:30:38 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 6792
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:30:41 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:32:23 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:32:42 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:35:41 +0900] "GET /BBS/XSS_write.jsp HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:39:24 +0900] "POST /BBS/XSS_writeAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:39:24 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 7094
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:39:25 +0900] "GET /BBS/XSS_post.jsp?bbsID=5 HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:40:16 +0900] "GET /BBS/XSS_post.jsp?bbsID=5 HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:40:18 +0900] "GET /BBS/XSS_write.jsp HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:42:36 +0900] "POST /BBS/XSS_writeAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:42:36 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 7396
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:42:38 +0900] "GET /BBS/XSS_post.jsp?bbsID=6 HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:42:38 +0900] "POST /BBS/XSS_writeAction.jsp HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:42:42 +0900] "GET /BBS/XSS_write.jsp HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:43:49 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 7396
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:43:50 +0900] "GET /BBS/XSS_post.jsp?bbsID=5 HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:44:38 +0900] "POST /BBS/XSS_writeAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:44:39 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 7700
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:44:40 +0900] "GET /BBS/XSS_post.jsp?bbsID=7 HTTP/1.1" 200 3182
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:44:40 +0900] "POST /BBS/XSS_writeAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [04/Nov/2021:13:44:40 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8003
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:35:11 +0900] "GET /BBS/XSS_write.jsp HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:36:11 +0900] "POST /BBS/XSS_writeAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:36:11 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8324
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:36:36 +0900] "GET /BBS/XSS_post.jsp?bbsID=9 HTTP/1.1" 200 2904
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:39:31 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:39:47 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:43:46 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:44:18 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:44:27 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:46:43 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8349
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:46:47 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:47:23 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8353
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:47:25 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:48:28 +0900] "GET /BBS/XSS_write.jsp HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:50:04 +0900] "POST /BBS/XSS_writeAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:50:04 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8660
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:50:10 +0900] "GET /BBS/XSS_post.jsp?bbsID=10 HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:50:10 +0900] "POST /BBS/XSS_writeAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:50:10 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8755
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:50:25 +0900] "GET /BBS/XSS_post.jsp?bbsID=11 HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:50:33 +0900] "GET /BBS/XSS_write.jsp HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:50:52 +0900] "POST /BBS/XSS_writeAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:50:52 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8775
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:50:53 +0900] "GET /BBS/XSS_post.jsp?bbsID=12 HTTP/1.1" 200 3210
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:50:53 +0900] "POST /BBS/XSS_writeAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:50:53 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8772
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:51:45 +0900] "GET /BBS/XSS_post.jsp?bbsID=9 HTTP/1.1" 200 2904
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:53:51 +0900] "GET /BBS/XSS_post.jsp?bbsID=4 HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:53:52 +0900] "GET /BBS/XSS_post.jsp?bbsID=5 HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:53:55 +0900] "GET /BBS/XSS_post.jsp?bbsID=7 HTTP/1.1" 200 3182
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:53:55 +0900] "POST /BBS/XSS_writeAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [04/Nov/2021:14:53:55 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8778
0:0:0:0:0:0:0:1 - - [04/Nov/2021:15:29:46 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8771
0:0:0:0:0:0:0:1 - - [04/Nov/2021:15:29:47 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8771
0:0:0:0:0:0:0:1 - - [04/Nov/2021:15:29:47 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8771
0:0:0:0:0:0:0:1 - - [04/Nov/2021:15:29:48 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8771
0:0:0:0:0:0:0:1 - - [04/Nov/2021:15:30:00 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8784
0:0:0:0:0:0:0:1 - - [04/Nov/2021:15:30:01 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8784
0:0:0:0:0:0:0:1 - - [04/Nov/2021:15:30:01 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8784
0:0:0:0:0:0:0:1 - - [04/Nov/2021:15:39:32 +0900] "GET /BBS/XSS_notice.jsp HTTP/1.1" 200 8784
0:0:0:0:0:0:0:1 - - [04/Nov/2021:15:39:34 +0900] "POST /BBS/XSS_reflectedAction.jsp HTTP/1.1" 200 215
